,T,P,FDR,HOLM
C11orf30,-0.9911312957748157,0.3216214731315218,0.45530032914122914,1.0
TRIM39,0.392241767192149,0.6948795859687323,0.7884596778833016,1.0
MYEF2,-3.4538060018718872,0.0005527348336688677,0.0026526018596097936,1.0
ST14,2.1036196946164236,0.035411634576215545,0.08168537928512569,1.0
R3HDM1,-3.7585816147225746,0.0001708793008544708,0.0009721897607567436,1.0
RSPH9,-4.15221290241984,3.292757094344848e-05,0.00023452392846270764,0.40020169724667287
LFNG,0.4507965396771955,0.6521361954991413,0.7546780332296684,1.0
CDSN,0.2987639208818745,0.7651201812485098,0.8417453211805642,1.0
ACOT4,0.21379623988969576,0.8307059572978935,0.8900735751631389,1.0
PSMD6,3.5253126328950386,0.00042298328021295965,0.00210568225903198,1.0
CFDP1,-0.08412061769115403,0.9329605321952901,0.9585201659891731,1.0
CDH3,-7.218520792147266,5.255610249714103e-13,2.0989779014253668e-11,7.2448587292308904e-09
NEURL1B,-3.6328429283117964,0.0002803156669919106,0.0014859778402443314,1.0
MAPKAPK2,4.962850302514243,6.946612259027503e-07,8.163857366428166e-06,0.008986137618277977
ADAMTS10,-1.4025940120629714,0.16073793842768025,0.2712697576517243,1.0
ZC3H10,-1.0824477690368346,0.279053612083051,0.41075064733265754,1.0
SLC39A12,-0.019784007334994084,0.984215675685677,0.9934205199431785,1.0
ABR,-4.9100366244075815,9.105938453833361e-07,1.034054280002378e-05,0.011741197042372736
HLA-DPA1,3.1883657179114353,0.0014307944794644308,0.005846408193834717,1.0
ZNF768,-1.5241142973466884,0.1274801617635206,0.22670622981291247,1.0
PRPH,6.112966571980681,9.779586236851993e-10,2.191185264922559e-08,1.3210265088739671e-05
GLIPR1,-0.6728038203950605,0.50107210693375,0.6269797094751548,1.0
METTL8,4.598138323581784,4.262829490039301e-06,4.060850781468341e-05,0.05394610719644735
CD82,1.523361687351813,0.1276682417067556,0.2269962248019435,1.0
TMEM209,-1.1571327260063604,0.24721813793976388,0.3752850748053562,1.0
MAGI2,-2.2260237801107765,0.026012588617443152,0.06394817907727549,1.0
IL15,0.0018995916151703161,0.9984843460899515,1.0,1.0
RPTOR,0.08438901927882896,0.9327471374899559,0.958426786124853,1.0
FRMD6,-2.025306257792231,0.04283592635673037,0.09522237843261856,1.0
LAMB2P1,-4.702517366288869,2.56973355125159e-06,2.58767043786289e-05,0.032725556775189
COQ2,1.9466386365765316,0.05157807311476948,0.11045301388921705,1.0
HEXA,0.6159966232886072,0.5378967484176584,0.6586494898544473,1.0
CCDC60,2.582115979287289,0.009819657878611995,0.0290379257661193,1.0
TMEM144,1.735304634318811,0.08268686134491494,0.16071306649634415,1.0
TDH,7.463560467346723,8.42152024471526e-14,3.816136321146934e-12,1.164443604236779e-09
CDH16,-0.11489248337015545,0.908530343042431,0.9432223520292179,1.0
RBM42,-0.2303571452661808,0.8178142588298465,0.8812696639738087,1.0
YIPF7,-1.2210163071815174,0.22207984556367177,0.34705038759579876,1.0
PPP4C,0.6763841485716083,0.4987967787468167,0.6247885937735886,1.0
GLRX2,7.627714043234189,2.389528625398533e-14,1.1895477361226924e-12,3.3106919104896675e-10
C14orf178,-2.9136244841121695,0.003572593666508056,0.012630489936756912,1.0
ZBTB38,-2.3113048281017594,0.020816023531880445,0.05344051946499469,1.0
HGSNAT,-5.056196484275215,4.2770068753862815e-07,5.313560914254064e-06,0.005560536638689705
NADSYN1,0.9956668978894235,0.3194120187505223,0.4530798756992961,1.0
CLCNKB,-0.01720310288177947,0.9862745868146318,0.9947175137954961,1.0
TTPA,0.525741795122415,0.5990676202435794,0.7100133269074346,1.0
SMG6,-1.7224585136821744,0.084986491815306,0.16430179424104965,1.0
CHRDL2,0.5327781440375857,0.5941871649165806,0.7064833788356352,1.0
DPF3,1.6927977709427262,0.0904939671344727,0.17286903220472571,1.0
CDKL4,5.226058280753243,1.731617984281848e-07,2.3652725638791666e-06,0.0022691122066029338
C22orf23,0.6514833149078597,0.5147345442798872,0.6387533561861709,1.0
TUG1,-2.577332103120685,0.009956623832847462,0.029338630210253736,1.0
CHRM3,-1.2243469850217206,0.22082135943783043,0.3453509269615096,1.0
